fact_table_natural_key,accm_txn_complete_time
DR280,5/9/2022 20:53
DR281,5/9/2022 2:51
DR282,5/9/2022 21:59
DR283,5/9/2022 18:17
DR284,5/9/2022 6:23
DR285,5/9/2022 22:59
DR286,5/9/2022 1:53
DR287,5/9/2022 1:03
DR288,5/9/2022 1:08
DR289,5/9/2022 7:06
DR290,5/9/2022 21:47
DR291,5/9/2022 7:33
DR292,5/9/2022 17:15
DR293,5/9/2022 9:00
DR294,5/9/2022 15:20
DR295,5/9/2022 20:02
DR296,5/9/2022 14:05
DR297,5/9/2022 0:51
DR298,5/9/2022 7:47
DR299,5/9/2022 18:37
DR300,5/9/2022 21:35
DR301,5/9/2022 14:52
DR302,5/9/2022 19:30
DR303,5/9/2022 15:21
DR304,5/9/2022 13:23
DR305,5/9/2022 0:00
DR306,5/9/2022 20:38
DR308,5/9/2022 14:29
DR309,5/9/2022 16:17
DR310,5/9/2022 5:50
DR311,5/9/2022 2:11
DR312,5/9/2022 0:47
DR313,5/9/2022 19:02
DR314,5/9/2022 20:24
DR315,5/9/2022 3:39
DR316,5/9/2022 13:47
DR317,5/9/2022 0:09
DR318,5/9/2022 2:45
DR319,5/9/2022 1:30
DR320,5/9/2022 4:31
DR321,5/9/2022 2:03
DR322,5/9/2022 15:08
DR323,5/9/2022 12:11
DR324,5/9/2022 19:53
DR326,5/9/2022 15:35
DR327,5/9/2022 20:54
DR328,5/9/2022 14:54
DR329,5/9/2022 4:53
DR330,5/9/2022 20:35
DR331,5/9/2022 21:34
DR332,5/9/2022 7:46
DR333,5/9/2022 2:25
DR334,5/9/2022 15:47
DR335,5/9/2022 18:41
DR336,5/9/2022 21:26
DR337,5/9/2022 22:46
DR338,5/9/2022 17:12
DR339,5/9/2022 7:28
DR340,5/9/2022 12:22
DR341,5/9/2022 19:45
DR343,5/9/2022 0:33
DR345,5/9/2022 4:07
DR346,5/9/2022 15:33
DR347,5/9/2022 4:44
DR348,5/9/2022 18:01
DR349,5/9/2022 13:09
DR350,5/9/2022 9:44
DR351,5/9/2022 5:20
DR352,5/9/2022 14:37
DR353,5/9/2022 1:32
DR354,5/9/2022 13:51
DR355,5/9/2022 16:12
DR356,5/9/2022 3:04
DR357,5/9/2022 16:30
DR358,5/9/2022 13:52
DR359,5/9/2022 21:06
DR360,5/9/2022 18:29
DR361,5/9/2022 1:16
DR362,5/9/2022 5:40
DR363,5/9/2022 2:39
DR364,5/9/2022 0:52
DR365,5/9/2022 15:04
DR366,5/9/2022 4:55
DR368,5/9/2022 2:19
DR370,5/9/2022 15:23
DR373,5/9/2022 23:31
DR374,5/9/2022 10:27
DR375,5/9/2022 23:02
DR376,5/9/2022 17:58
DR377,5/9/2022 17:39
DR379,5/9/2022 20:28
DR380,5/9/2022 6:46
DR381,5/9/2022 13:01
DR382,5/9/2022 0:11
DR383,5/9/2022 22:07
DR384,5/9/2022 16:26
DR385,5/9/2022 21:12
DR386,5/9/2022 11:55
DR387,5/9/2022 13:26
DR388,5/9/2022 21:03
DR389,5/9/2022 10:49
DR391,5/9/2022 13:05
DR392,5/9/2022 2:26
DR393,5/9/2022 14:25
DR394,5/9/2022 21:47
DR395,5/9/2022 12:20
DR396,5/9/2022 9:44
DR397,5/9/2022 10:21
DR399,5/9/2022 5:02
DR400,5/9/2022 4:03
DR401,5/9/2022 13:44
DR402,5/9/2022 14:40
DR403,5/9/2022 14:34
DR405,5/9/2022 6:02
DR406,5/9/2022 9:20
DR407,5/9/2022 12:12
DR408,5/9/2022 21:06
DR409,5/9/2022 6:41
DR411,5/9/2022 7:40
DR412,5/9/2022 5:57
DR413,5/9/2022 3:10
DR415,5/9/2022 11:42
DR416,5/9/2022 17:33
DR417,5/9/2022 15:45
DR419,5/9/2022 13:33
DR420,5/9/2022 11:36
DR421,5/9/2022 15:39
DR422,5/9/2022 11:13
DR424,5/9/2022 14:49
DR425,5/9/2022 5:32
DR426,5/9/2022 18:33
DR427,5/9/2022 22:57
DR428,5/9/2022 21:49
DR429,5/9/2022 13:04
DR430,5/9/2022 0:34
DR431,5/9/2022 10:41
DR432,5/9/2022 1:21
DR433,5/9/2022 17:09
DR434,5/9/2022 0:05
DR435,5/9/2022 23:36
DR436,5/9/2022 12:03
DR437,5/9/2022 11:24
DR438,5/9/2022 13:50
DR439,5/9/2022 17:55
DR441,5/9/2022 15:59
DR442,5/9/2022 23:35
DR443,5/9/2022 3:37
DR444,5/9/2022 18:17
DR445,5/9/2022 17:54
DR446,5/9/2022 12:23
DR447,5/9/2022 12:28
DR448,5/9/2022 7:57
DR449,5/9/2022 23:15
DR450,5/9/2022 3:55
DR452,5/9/2022 21:04
DR453,5/9/2022 5:07
DR454,5/9/2022 14:45
DR455,5/9/2022 19:39
DR456,5/9/2022 18:35
DR457,5/9/2022 16:27
DR458,5/9/2022 13:46
DR459,5/9/2022 1:13
DR460,5/9/2022 3:35
DR461,5/9/2022 21:57
DR462,5/9/2022 7:15
DR464,5/9/2022 20:51
DR465,5/9/2022 2:27
DR466,5/9/2022 17:27
DR467,5/9/2022 0:33
DR468,5/9/2022 22:03
DR469,5/9/2022 19:21
DR470,5/9/2022 16:24
DR471,5/9/2022 22:36
DR473,5/9/2022 4:34
DR474,5/9/2022 15:14
DR475,5/9/2022 18:58
DR476,5/9/2022 11:18
DR477,5/9/2022 4:47
DR478,5/9/2022 23:45
DR479,5/9/2022 6:57
DR480,5/9/2022 3:03
DR481,5/9/2022 15:15
DR482,5/9/2022 4:38
DR484,5/9/2022 6:56
DR485,5/9/2022 20:05
DR486,5/9/2022 5:44
DR487,5/9/2022 3:36
DR488,5/9/2022 10:42
DR489,5/9/2022 22:31
DR490,5/9/2022 10:10
DR491,5/9/2022 13:56
DR492,5/9/2022 9:19
DR493,5/9/2022 5:53
DR494,5/9/2022 18:26
DR495,5/9/2022 13:59
DR496,5/9/2022 18:05
DR497,5/9/2022 13:09
DR498,5/9/2022 15:59
DR499,5/9/2022 8:21
DR500,5/9/2022 4:29
DR501,5/9/2022 22:52
DR502,5/9/2022 22:54
DR503,5/9/2022 12:15
DR504,5/9/2022 10:27
DR505,5/9/2022 11:35
DR507,5/9/2022 10:49
DR508,5/9/2022 15:50
DR509,5/9/2022 12:06
DR510,5/9/2022 8:51
DR511,5/9/2022 3:38
DR512,5/9/2022 10:03
DR513,5/9/2022 2:26
DR514,5/9/2022 11:40
DR515,5/9/2022 11:10
DR516,5/9/2022 11:14
DR517,5/9/2022 15:11
DR518,5/9/2022 12:41
DR519,5/9/2022 4:07
DR520,5/9/2022 7:23
DR521,5/9/2022 22:00
DR524,5/9/2022 5:19
DR525,5/9/2022 22:20
DR526,5/9/2022 20:22
DR527,5/9/2022 17:19
DR528,5/9/2022 22:08
DR530,5/9/2022 11:35
DR531,5/9/2022 2:13
DR532,5/9/2022 10:57
DR533,5/9/2022 21:21
DR534,5/9/2022 20:47
DR535,5/9/2022 12:14
DR536,5/9/2022 23:39
DR537,5/9/2022 9:05
DR538,5/9/2022 23:01
DR539,5/9/2022 3:27
DR540,5/9/2022 18:10
DR542,5/9/2022 8:06
DR543,5/9/2022 2:31
DR544,5/9/2022 16:10
DR545,5/9/2022 14:50
DR546,5/9/2022 17:59
DR547,5/9/2022 8:40
DR548,5/9/2022 19:32
DR549,5/9/2022 19:42
DR550,5/9/2022 5:38
DR551,5/9/2022 14:11
DR552,5/9/2022 21:53
DR553,5/9/2022 2:42
DR555,5/9/2022 17:52
DR556,5/9/2022 16:18
DR557,5/9/2022 18:57
DR558,5/9/2022 11:23
DR559,5/9/2022 3:44
DR560,5/9/2022 17:51
DR561,5/9/2022 5:33
DR562,5/9/2022 21:46
DR564,5/9/2022 6:44
DR565,5/9/2022 9:50
DR566,5/9/2022 23:36
DR568,5/9/2022 2:25
DR569,5/9/2022 11:30
DR570,5/9/2022 10:54
DR571,5/9/2022 3:10
DR572,5/9/2022 9:14
DR573,5/9/2022 21:40
DR574,5/9/2022 20:01
DR575,5/9/2022 6:46
DR577,5/9/2022 16:19
DR578,5/9/2022 7:51
DR580,5/9/2022 11:53
DR581,5/9/2022 12:00
DR582,5/9/2022 10:41
DR583,5/9/2022 20:01
DR584,5/9/2022 22:48
DR585,5/9/2022 10:27
DR586,5/9/2022 5:00
DR587,5/9/2022 12:22
DR588,5/9/2022 19:58
DR590,5/9/2022 20:06
DR591,5/9/2022 7:34
DR593,5/9/2022 23:12
DR594,5/9/2022 23:05
DR595,5/9/2022 11:02
DR596,5/9/2022 14:20
DR597,5/9/2022 5:51
DR598,5/9/2022 17:21
DR600,5/9/2022 23:36
DR601,5/9/2022 21:18
DR602,5/9/2022 9:08
DR603,5/9/2022 19:17
DR604,5/9/2022 17:42
DR605,5/9/2022 2:01
DR606,5/9/2022 13:18
DR607,5/9/2022 6:17
DR608,5/9/2022 17:58
DR609,5/9/2022 17:18
DR610,5/9/2022 17:01
DR611,5/9/2022 1:58
DR613,5/9/2022 17:42
DR614,5/9/2022 21:56
DR615,5/9/2022 8:44
DR616,5/9/2022 12:52
DR617,5/9/2022 16:49
DR618,5/9/2022 2:03
DR619,5/9/2022 4:36
DR620,5/9/2022 23:14
DR621,5/9/2022 0:21
DR622,5/9/2022 0:18
DR623,5/9/2022 11:14
DR624,5/9/2022 23:10
DR625,5/9/2022 3:47
DR626,5/9/2022 13:21
DR627,5/9/2022 15:57
DR628,5/9/2022 11:38
DR629,5/9/2022 23:45
DR630,5/9/2022 14:35
DR631,5/9/2022 4:18
DR632,5/9/2022 0:15
DR633,5/9/2022 10:15
DR634,5/9/2022 13:52
DR635,5/9/2022 4:35
DR636,5/9/2022 20:40
DR637,5/9/2022 5:34
DR638,5/9/2022 21:50
DR640,5/9/2022 12:52
DR641,5/9/2022 22:27
DR642,5/9/2022 15:35
DR643,5/9/2022 1:23
DR644,5/9/2022 5:28
DR645,5/9/2022 12:56
DR646,5/9/2022 20:18
DR647,5/9/2022 16:29
DR648,5/9/2022 18:19
DR649,5/9/2022 21:44
DR650,5/9/2022 20:12
DR651,5/9/2022 7:47
DR652,5/9/2022 3:15
DR653,5/9/2022 23:38
DR654,5/9/2022 12:38
DR655,5/9/2022 22:17
DR657,5/9/2022 5:09
DR658,5/9/2022 14:21
DR660,5/9/2022 16:28
DR661,5/9/2022 6:51
DR662,5/9/2022 2:56
DR663,5/9/2022 22:04
DR664,5/9/2022 22:56
DR665,5/9/2022 19:29
DR666,5/9/2022 13:40
DR667,5/9/2022 21:10
DR668,5/9/2022 23:41
DR669,5/9/2022 4:44
DR670,5/9/2022 3:37
DR671,5/9/2022 21:36
DR672,5/9/2022 2:52
DR673,5/9/2022 3:46
DR674,5/9/2022 3:22
DR675,5/9/2022 18:41
DR676,5/9/2022 12:28
DR677,5/9/2022 15:09
DR678,5/9/2022 7:35
DR679,5/9/2022 18:12
DR680,5/9/2022 23:42
DR681,5/9/2022 23:04
DR682,5/9/2022 17:20
DR683,5/9/2022 8:54
DR684,5/9/2022 13:42
DR685,5/9/2022 13:00
DR686,5/9/2022 3:53
DR688,5/9/2022 19:42
DR689,5/9/2022 6:31
DR690,5/9/2022 7:35
DR691,5/9/2022 17:59
DR692,5/9/2022 13:30
DR693,5/9/2022 15:24
DR695,5/9/2022 0:58
DR696,5/9/2022 19:42
DR697,5/9/2022 16:31
DR698,5/9/2022 4:44
DR699,5/9/2022 21:23
DR700,5/9/2022 16:23
DR701,5/9/2022 20:00
DR702,5/9/2022 2:52
DR703,5/9/2022 10:14
DR704,5/9/2022 5:35
DR705,5/9/2022 12:27
DR706,5/9/2022 7:33
DR708,5/9/2022 15:00
DR709,5/9/2022 19:40
DR710,5/9/2022 18:48
DR711,5/9/2022 22:10
DR712,5/9/2022 15:05
DR713,5/9/2022 4:58
DR714,5/9/2022 13:14
DR715,5/9/2022 5:18
DR716,5/9/2022 18:58
DR717,5/9/2022 15:55
DR719,5/9/2022 15:47
DR720,5/9/2022 17:02
DR721,5/9/2022 7:38
DR723,5/9/2022 8:05
DR726,5/9/2022 5:27
DR727,5/9/2022 11:51
DR728,5/9/2022 3:51
DR730,5/9/2022 9:18
DR731,5/9/2022 15:26
DR733,5/9/2022 16:35
DR735,5/9/2022 19:51
DR736,5/9/2022 0:30
DR737,5/9/2022 21:08
DR738,5/9/2022 22:29
DR739,5/9/2022 23:43
DR740,5/9/2022 0:34
DR741,5/9/2022 5:10
DR743,5/9/2022 16:01
DR744,5/9/2022 18:34
DR746,5/9/2022 18:01
DR748,5/9/2022 0:12
DR749,5/9/2022 5:55
DR750,5/9/2022 1:23
DR751,5/9/2022 13:54
DR754,5/9/2022 15:16
DR755,5/9/2022 7:06
DR756,5/9/2022 14:39
DR758,5/9/2022 16:48
DR760,5/9/2022 7:26
DR761,5/9/2022 20:33
DR762,5/9/2022 7:24
DR763,5/9/2022 3:06
DR764,5/9/2022 22:53
DR766,5/9/2022 21:27
DR767,5/9/2022 23:56
DR768,5/9/2022 2:32
DR769,5/9/2022 9:20
DR771,5/9/2022 16:57
DR772,5/9/2022 22:12
DR773,5/9/2022 10:33
DR774,5/9/2022 19:05
DR775,5/9/2022 3:08
DR776,5/9/2022 1:16
DR777,5/9/2022 7:06
DR778,5/9/2022 2:40
DR780,5/9/2022 11:59
DR781,5/9/2022 18:23
DR782,5/9/2022 22:05
DR783,5/9/2022 0:11
DR784,5/9/2022 17:09
DR785,5/9/2022 13:30
DR786,5/9/2022 21:56
DR787,5/9/2022 12:06
DR788,5/9/2022 18:17
DR789,5/9/2022 13:22
DR790,5/9/2022 1:16
DR791,5/9/2022 0:38
DR792,5/9/2022 16:05
DR793,5/9/2022 8:39
DR794,5/9/2022 13:24
DR795,5/9/2022 22:39
DR798,5/9/2022 7:52
DR799,5/9/2022 16:46
DR800,5/9/2022 22:21
DR801,5/9/2022 17:37
DR802,5/9/2022 10:28
DR803,5/9/2022 18:35
DR804,5/9/2022 12:42
DR805,5/9/2022 9:19
DR806,5/9/2022 13:51
DR807,5/9/2022 10:39
DR808,5/9/2022 17:25
DR809,5/9/2022 18:42
DR810,5/9/2022 9:52
DR812,5/9/2022 5:23
DR813,5/9/2022 11:42
DR814,5/9/2022 9:29
DR815,5/9/2022 5:00
DR816,5/9/2022 10:42
DR817,5/9/2022 13:06
DR820,5/9/2022 18:14
DR821,5/9/2022 14:02
DR822,5/9/2022 18:00
DR823,5/9/2022 11:38
DR824,5/9/2022 12:10
DR825,5/9/2022 16:19
DR826,5/9/2022 8:17
DR827,5/9/2022 10:42
DR828,5/9/2022 13:16
DR829,5/9/2022 21:06
DR830,5/9/2022 14:18
DR831,5/9/2022 19:59
DR832,5/9/2022 4:04
DR833,5/9/2022 23:40
DR835,5/9/2022 19:52
DR836,5/9/2022 16:07
DR837,5/9/2022 19:38
DR838,5/9/2022 9:14
DR839,5/9/2022 10:16
DR840,5/9/2022 11:36
DR841,5/9/2022 8:05
DR842,5/9/2022 16:05
DR843,5/9/2022 3:07
DR844,5/9/2022 21:09
DR845,5/9/2022 0:12
DR846,5/9/2022 17:11
DR848,5/9/2022 0:35
DR850,5/9/2022 22:52
DR851,5/9/2022 16:19
DR852,5/9/2022 8:03
DR853,5/9/2022 9:46
DR854,5/9/2022 3:37
DR855,5/9/2022 19:38
DR856,5/9/2022 2:15
DR857,5/9/2022 1:18
DR858,5/9/2022 13:45
DR859,5/9/2022 18:40
DR860,5/9/2022 11:22
DR863,5/9/2022 23:02
DR864,5/9/2022 15:03
DR865,5/9/2022 19:23
DR866,5/9/2022 15:14
DR867,5/9/2022 17:48
DR868,5/9/2022 4:35
DR869,5/9/2022 13:55
DR871,5/9/2022 19:30
DR873,5/9/2022 15:14
DR874,5/9/2022 2:57
DR875,5/9/2022 14:47
DR876,5/9/2022 14:14
DR877,5/9/2022 14:02
DR879,5/9/2022 22:28
DR880,5/9/2022 21:46
DR881,5/9/2022 17:12
DR883,5/9/2022 14:24
DR884,5/9/2022 13:09
DR885,5/9/2022 9:11
DR886,5/9/2022 13:53
DR887,5/9/2022 9:32
DR888,5/9/2022 4:42
DR889,5/9/2022 23:58
DR890,5/9/2022 4:48
DR891,5/9/2022 1:28
DR892,5/9/2022 17:37
DR895,5/9/2022 20:09
DR896,5/9/2022 19:43
DR897,5/9/2022 12:34
DR898,5/9/2022 3:53
DR899,5/9/2022 5:50
DR900,5/9/2022 19:41
DR901,5/9/2022 19:12
DR903,5/9/2022 14:19
DR904,5/9/2022 7:05
DR907,5/9/2022 2:56
DR908,5/9/2022 21:20
DR909,5/9/2022 11:02
DR911,5/9/2022 20:03
DR912,5/9/2022 13:59
DR913,5/9/2022 9:57
DR914,5/9/2022 1:21
DR915,5/9/2022 1:50
DR916,5/9/2022 9:46
DR917,5/9/2022 2:59
DR918,5/9/2022 20:05
DR919,5/9/2022 0:21
DR920,5/9/2022 23:29
DR921,5/9/2022 14:20
DR922,5/9/2022 2:29
DR923,5/9/2022 5:34
DR924,5/9/2022 10:49
DR925,5/9/2022 22:31
DR926,5/9/2022 12:48
DR927,5/9/2022 8:29
DR928,5/9/2022 4:50
DR929,5/9/2022 11:56
DR930,5/9/2022 14:03
DR931,5/9/2022 11:44
DR932,5/9/2022 14:48
DR933,5/9/2022 19:07
DR935,5/9/2022 11:48
DR937,5/9/2022 23:08
DR938,5/9/2022 8:54
DR939,5/9/2022 2:17
DR940,5/9/2022 11:38
DR941,5/9/2022 17:50
DR942,5/9/2022 20:15
DR943,5/9/2022 18:40
DR945,5/9/2022 10:51
DR946,5/9/2022 18:01
DR947,5/9/2022 0:37
DR948,5/9/2022 21:46
DR949,5/9/2022 20:28
DR951,5/9/2022 7:58
DR954,5/9/2022 20:38
DR955,5/9/2022 10:40
DR956,5/9/2022 22:09
DR957,5/9/2022 5:06
DR958,5/9/2022 11:08
DR959,5/9/2022 16:00
DR961,5/9/2022 3:17
DR962,5/9/2022 17:56
DR963,5/9/2022 15:06
DR964,5/9/2022 18:36
DR965,5/9/2022 12:09
DR967,5/9/2022 2:03
DR968,5/9/2022 20:51
DR969,5/9/2022 5:47
DR970,5/9/2022 9:45
DR971,5/9/2022 6:15
DR972,5/9/2022 22:10
DR973,5/9/2022 1:50
DR974,5/9/2022 18:58
DR975,5/9/2022 16:12
DR976,5/9/2022 7:45
DR977,5/9/2022 2:58
DR978,5/9/2022 6:31
DR979,5/9/2022 8:03
DR980,5/9/2022 9:38
DR981,5/9/2022 16:12
DR982,5/9/2022 1:11
DR983,5/9/2022 2:38
DR984,5/9/2022 23:23
DR985,5/9/2022 8:24
DR986,5/9/2022 4:25
DR988,5/9/2022 1:46
DR989,5/9/2022 1:10
DR990,5/9/2022 12:30
DR991,5/9/2022 23:18
DR992,5/9/2022 22:52
DR993,5/9/2022 5:44
DR994,5/9/2022 12:29
DR995,5/9/2022 6:10
DR996,5/9/2022 10:40
DR998,5/9/2022 7:56
DR999,5/9/2022 10:30
DR1001,5/9/2022 11:34
DR1002,5/9/2022 10:17
DR1003,5/9/2022 2:49
DR1004,5/9/2022 11:19
DR1005,5/9/2022 2:25
DR1006,5/9/2022 10:35
DR1007,5/9/2022 17:19
DR1008,5/9/2022 22:14
DR1009,5/9/2022 12:39
DR1010,5/9/2022 11:26
DR1011,5/9/2022 13:06
DR1012,5/9/2022 15:52
DR1013,5/9/2022 9:22
DR1015,5/9/2022 3:51
DR1016,5/9/2022 10:59
DR1017,5/9/2022 8:23
DR1018,5/9/2022 9:06
DR1019,5/9/2022 3:40
DR1020,5/9/2022 14:05
DR1021,5/9/2022 15:16
DR1022,5/9/2022 2:17
DR1023,5/9/2022 18:36
DR1024,5/9/2022 23:33
DR1025,5/9/2022 3:46
DR1026,5/9/2022 21:56
DR1027,5/9/2022 13:59
DR1028,5/9/2022 5:57
DR1029,5/9/2022 23:06
DR1030,5/9/2022 19:56
DR1031,5/9/2022 15:26
DR1032,5/9/2022 4:10
DR1033,5/9/2022 7:47
DR1034,5/9/2022 16:02
DR1035,5/9/2022 18:26
DR1037,5/9/2022 12:51
DR1039,5/9/2022 12:11
DR1040,5/9/2022 2:54
DR1041,5/9/2022 16:14
DR1042,5/9/2022 20:41
DR1043,5/9/2022 3:41
DR1044,5/9/2022 3:11
DR1046,5/9/2022 10:24
DR1047,5/9/2022 20:04
DR1048,5/9/2022 7:00
DR1049,5/9/2022 7:19
DR1050,5/9/2022 15:44
DR1051,5/9/2022 14:40
DR1052,5/9/2022 11:19
DR1053,5/9/2022 11:43
DR1054,5/9/2022 15:29
DR1055,5/9/2022 18:50
DR1056,5/9/2022 5:44
DR1057,5/9/2022 11:36
DR1058,5/9/2022 14:04
DR1059,5/9/2022 21:56
DR1060,5/9/2022 0:33
DR1061,5/9/2022 17:26
DR1062,5/9/2022 6:46
DR1063,5/9/2022 0:17
DR1065,5/9/2022 9:38
DR1066,5/9/2022 20:02
DR1067,5/9/2022 17:16
DR1068,5/9/2022 20:34
DR1069,5/9/2022 5:06
DR1070,5/9/2022 3:08
DR1071,5/9/2022 6:39
DR1072,5/9/2022 16:27
DR1073,5/9/2022 22:15
DR1074,5/9/2022 14:46
DR1076,5/9/2022 14:19
DR1077,5/9/2022 19:26
DR1078,5/9/2022 14:16
DR1079,5/9/2022 22:38
DR1080,5/9/2022 11:55
DR1081,5/9/2022 18:46
DR1082,5/9/2022 3:19
DR1083,5/9/2022 6:10
DR1084,5/9/2022 18:24
DR1085,5/9/2022 18:00
DR1087,5/9/2022 22:43
DR1088,5/9/2022 4:01
DR1089,5/9/2022 7:14
DR1090,5/9/2022 11:49
DR1091,5/9/2022 18:32
DR1092,5/9/2022 12:20
DR1093,5/9/2022 17:35
DR1095,5/9/2022 13:53
DR1096,5/9/2022 6:27
DR1097,5/9/2022 4:23
DR1098,5/9/2022 19:34
DR1099,5/9/2022 22:07
DR1100,5/9/2022 12:59
DR1101,5/9/2022 12:30
DR1102,5/9/2022 6:19
DR1103,5/9/2022 13:25
DR1104,5/9/2022 4:50
DR1105,5/9/2022 10:31
DR1106,5/9/2022 8:26
DR1107,5/9/2022 10:25
DR1108,5/9/2022 21:49
DR1109,5/9/2022 10:19
DR1110,5/9/2022 8:57
DR1111,5/9/2022 1:52
DR1112,5/9/2022 20:09
DR1113,5/9/2022 7:52
DR1114,5/9/2022 11:47
DR1115,5/9/2022 11:45
DR1116,5/9/2022 14:57
DR1117,5/9/2022 17:55
DR1118,5/9/2022 18:22
DR1119,5/9/2022 13:46
DR1120,5/9/2022 4:19
DR1121,5/9/2022 10:33
DR1122,5/9/2022 4:14
DR1123,5/9/2022 9:33
DR1124,5/9/2022 11:19
DR1125,5/9/2022 0:04
DR1126,5/9/2022 3:50
DR1127,5/9/2022 20:36
DR1128,5/9/2022 0:10
DR1129,5/9/2022 0:11
DR1131,5/9/2022 22:17
DR1132,5/9/2022 0:52
DR1133,5/9/2022 14:14
DR1134,5/9/2022 0:59
DR1135,5/9/2022 20:49
DR1136,5/9/2022 22:35
DR1137,5/9/2022 18:11
DR1138,5/9/2022 1:36
DR1139,5/9/2022 12:52
DR1140,5/9/2022 14:54
