DraftID	CollegeID	PlayerID	Draft_Date	Draft_Price	Goals_Scored	Average_Score
DR160	COLL68	PL1060	10/11/2020	80000	45	3.75
DR161	COLL69	PL1061	9/13/2017	40000	81	6.75
DR162	COLL70	PL1062	4/5/2017	100000	71	5.92
DR163	COLL71	PL1063	4/17/2018	100000	35	2.92
DR164	COLL72	PL1064	12/20/2019	100000	74	6.17
DR165	COLL74	PL1065	6/24/2018	35000	33	2.75
DR167	COLL76	PL1066	9/13/2019	30000	71	5.92
DR168	COLL77	PL1067	10/28/2017	100000	43	3.58
DR169	COLL78	PL1068	6/20/2020	70000	77	6.42
DR170	COLL79	PL1069	7/28/2019	80000	78	6.50
DR172	COLL80	PL1070	9/2/2017	35000	62	5.17
DR173	COLL81	PL1071	1/3/2020	30000	90	7.50
DR174	COLL82	PL1072	9/25/2019	70000	49	4.08
DR175	COLL83	PL1073	3/6/2018	80000	90	7.50
DR177	COLL84	PL1074	12/18/2017	60000	74	6.17
DR178	COLL85	PL1076	4/7/2017	90000	48	4.00
DR179	COLL86	PL1077	11/18/2020	50000	89	7.42
DR180	COLL87	PL1078	2/26/2020	100000	44	3.67
DR183	COLL88	PL1079	9/10/2020	50000	79	6.58
DR184	COLL89	PL1080	7/13/2017	20000	68	5.67
DR186	COLL90	PL1081	6/8/2020	10000	67	5.58
DR187	COLL91	PL1082	1/29/2018	70000	59	4.92
DR188	COLL92	PL1083	9/27/2017	60000	73	6.08
DR189	COLL93	PL1084	2/26/2019	20000	66	5.50
DR190	COLL94	PL1085	12/20/2017	20000	65	5.42
DR191	COLL96	PL1087	2/27/2021	10500	63	5.25
DR193	COLL97	PL1088	7/5/2017	80000	86	7.17
DR194	COLL98	PL1089	8/12/2018	20000	68	5.67
DR195	COLL100	PL1090	8/26/2019	100000	33	2.75
DR196	COLL102	PL1091	11/4/2018	90000	39	3.25
DR197	COLL104	PL1092	8/5/2019	40000	25	2.08
DR198	COLL106	PL1094	12/26/2019	100000	51	4.25
DR199	COLL107	PL1096	6/28/2020	60000	44	3.67
DR200	COLL109	PL1097	5/17/2018	80000	90	7.50
DR201	COLL110	PL1098	6/27/2017	40000	28	2.33
DR202	COLL111	PL1099	8/19/2019	45000	59	4.92
DR203	COLL112	PL1100	2/10/2017	25000	33	2.75
DR204	COLL113	PL1101	10/15/2020	20000	28	2.33
DR205	COLL114	PL1102	12/21/2017	20000	57	4.75
DR206	COLL115	PL1103	5/10/2018	25000	83	6.92
DR207	COLL117	PL1104	12/17/2017	25000	60	5.00
DR208	COLL118	PL1105	5/4/2020	30000	20	1.67
DR209	COLL119	PL1106	11/13/2017	10500	66	5.50
DR210	COLL120	PL1107	3/15/2020	80000	24	2.00
DR211	COLL121	PL1108	3/28/2021	25000	89	7.42
DR212	COLL122	PL1109	10/13/2019	100000	68	5.67
DR213	COLL124	PL1110	3/24/2021	70000	59	4.92
DR214	COLL125	PL1111	12/31/2020	90000	68	5.67
DR215	COLL126	PL1113	8/2/2019	30000	30	2.50
DR216	COLL127	PL1116	8/29/2017	50000	69	5.75
DR217	COLL128	PL1117	6/16/2020	20000	27	2.25
DR219	COLL129	PL1118	2/26/2020	35000	46	3.83
DR220	COLL130	PL1119	8/15/2019	70000	76	6.33
DR221	COLL131	PL1120	6/20/2018	50000	49	4.08
DR222	COLL132	PL1122	10/29/2020	90000	65	5.42
DR224	COLL133	PL1123	1/11/2020	30000	55	4.58
DR225	COLL135	PL1124	3/27/2021	25000	53	4.42
DR226	COLL136	PL1125	1/7/2019	10000	84	7.00
DR227	COLL137	PL1127	3/27/2019	45000	49	4.08
DR228	COLL138	PL1128	2/8/2018	70000	84	7.00
DR229	COLL139	PL1130	9/29/2020	35000	76	6.33
DR230	COLL141	PL1132	6/29/2018	35000	48	4.00
DR231	COLL142	PL1133	9/14/2020	70000	49	4.08
DR232	COLL143	PL1134	2/4/2021	45000	36	3.00
DR233	COLL145	PL1135	8/12/2017	35000	60	5.00
DR234	COLL146	PL1136	11/28/2017	35000	50	4.17
DR236	COLL147	PL1138	3/21/2020	35000	75	6.25
DR237	COLL148	PL1139	9/24/2018	10500	83	6.92
DR238	COLL149	PL1140	3/4/2021	10500	53	4.42
DR239	COLL150	PL1141	3/2/2018	20000	40	3.33
DR240	COLL151	PL1143	6/20/2020	90000	86	7.17
DR241	COLL152	PL1144	9/27/2018	45000	26	2.17
DR242	COLL153	PL1145	3/16/2018	35000	37	3.08
DR244	COLL154	PL1146	7/25/2018	20000	89	7.42
DR246	COLL155	PL1147	5/2/2020	25000	66	5.50
DR247	COLL156	PL1149	11/21/2017	60000	46	3.83
DR248	COLL157	PL1150	1/23/2017	25000	29	2.42
DR249	COLL158	PL1151	3/1/2019	35000	89	7.42
DR250	COLL159	PL1152	2/20/2017	20000	38	3.17
DR251	COLL160	PL1153	9/24/2019	20000	49	4.08
DR252	COLL161	PL1156	2/11/2018	40000	29	2.42
DR253	COLL163	PL1157	4/20/2019	30000	25	2.08
DR254	COLL164	PL1158	11/2/2018	50000	38	3.17
DR255	COLL165	PL1159	4/28/2019	90000	22	1.83
DR256	COLL166	PL1160	3/1/2019	20000	40	3.33
DR257	COLL167	PL1162	7/2/2017	10500	55	4.58
DR258	COLL168	PL1163	4/20/2017	25000	24	2.00
DR259	COLL169	PL1165	9/1/2020	20000	86	7.17
DR260	COLL170	PL1166	1/17/2018	60000	53	4.42
DR261	COLL171	PL1167	1/15/2021	90000	89	7.42
DR263	COLL172	PL1168	1/18/2017	35000	78	6.50
DR264	COLL173	PL1170	1/18/2019	40000	52	4.33
DR265	COLL174	PL1171	12/13/2018	10500	80	6.67
DR266	COLL175	PL1172	6/17/2018	100000	90	7.50
DR267	COLL176	PL1173	1/23/2017	35000	58	4.83
DR269	COLL177	PL1174	3/10/2018	80000	66	5.50
DR270	COLL178	PL1178	5/21/2020	40000	90	7.50
DR271	COLL180	PL1179	7/23/2018	100000	82	6.83
DR272	COLL181	PL1181	3/22/2021	30000	69	5.75
DR273	COLL182	PL1184	1/25/2018	90000	34	2.83
DR274	COLL183	PL1185	12/24/2018	80000	21	1.75
DR275	COLL184	PL1186	8/1/2020	10000	49	4.08
DR276	COLL185	PL1187	11/19/2019	20000	56	4.67
DR278	COLL186	PL1188	1/17/2019	10500	88	7.33
DR279	COLL187	PL1189	4/28/2017	100000	23	1.92
DR280	COLL188	PL1192	3/2/2019	10500	40	3.33
DR281	COLL189	PL1193	7/25/2018	10500	73	6.08
DR282	COLL190	PL1194	11/24/2020	35000	43	3.58
DR283	COLL191	PL1196	7/29/2018	10000	54	4.50
DR284	COLL192	PL1197	2/29/2020	10500	56	4.67
DR285	COLL193	PL1198	12/16/2017	100000	52	4.33
DR286	COLL194	PL1199	3/29/2021	40000	21	1.75
DR287	COLL195	PL1200	6/26/2020	50000	66	5.50
DR288	COLL196	PL1202	7/12/2018	45000	50	4.17
DR289	COLL197	PL1204	2/25/2018	20000	50	4.17
DR290	COLL198	PL1206	5/29/2019	50000	20	1.67
DR291	COLL199	PL1207	8/23/2017	25000	64	5.33
DR292	COLL200	PL1208	9/13/2020	50000	88	7.33
DR293	COLL201	PL1209	5/11/2020	80000	21	1.75
DR294	COLL202	PL1210	2/10/2018	30000	74	6.17
DR295	COLL203	PL1211	2/13/2020	90000	31	2.58
DR296	COLL204	PL1212	8/6/2020	70000	60	5.00
DR297	COLL205	PL1214	3/13/2018	40000	70	5.83
DR298	COLL207	PL1215	11/29/2018	45000	27	2.25
DR299	COLL209	PL1216	9/11/2019	35000	41	3.42
DR300	COLL210	PL1217	7/2/2017	40000	74	6.17
DR301	COLL211	PL1218	11/14/2018	10500	41	3.42
DR302	COLL212	PL1219	2/23/2017	25000	56	4.67
DR303	COLL213	PL1220	7/9/2019	45000	29	2.42
DR304	COLL214	PL1221	2/10/2018	20000	47	3.92
DR305	COLL215	PL1222	1/7/2020	70000	45	3.75
DR306	COLL216	PL1223	10/4/2020	30000	56	4.67
DR308	COLL217	PL1224	5/8/2018	70000	31	2.58
DR309	COLL219	PL1226	6/8/2017	40000	51	4.25
DR310	COLL220	PL1227	6/20/2017	20000	31	2.58
DR311	COLL221	PL1228	10/4/2018	45000	71	5.92
DR312	COLL223	PL1229	6/10/2018	25000	31	2.58
DR313	COLL225	PL1230	1/18/2019	10500	31	2.58
DR314	COLL226	PL1231	9/12/2020	45000	23	1.92
DR315	COLL227	PL1232	12/8/2019	35000	68	5.67
DR316	COLL228	PL1233	8/14/2020	25000	38	3.17
DR317	COLL229	PL1234	7/20/2018	10500	29	2.42
DR318	COLL231	PL1235	11/22/2018	80000	87	7.25
DR319	COLL232	PL1237	3/19/2017	10500	42	3.50
DR320	COLL234	PL1239	5/22/2018	10000	39	3.25
DR321	COLL235	PL1240	4/18/2018	20000	53	4.42
DR322	COLL236	PL1243	3/31/2020	70000	66	5.50
DR323	COLL237	PL1244	7/21/2017	10000	46	3.83
DR324	COLL238	PL1245	4/26/2017	45000	74	6.17
DR326	COLL239	PL1246	6/1/2020	10000	35	2.92
DR327	COLL240	PL1247	10/30/2018	10500	24	2.00
DR328	COLL241	PL1248	10/24/2020	10500	84	7.00
DR329	COLL242	PL1249	8/21/2020	70000	81	6.75
DR330	COLL243	PL1250	2/5/2020	100000	25	2.08
DR331	COLL244	PL1251	1/20/2018	10500	72	6.00
DR332	COLL245	PL1252	6/24/2019	45000	48	4.00
DR333	COLL246	PL1254	1/20/2019	90000	63	5.25
DR334	COLL247	PL1255	5/25/2020	50000	41	3.42
DR335	COLL248	PL1256	3/29/2020	40000	63	5.25
DR336	COLL249	PL1257	2/10/2021	45000	87	7.25
DR337	COLL250	PL1259	9/29/2019	90000	23	1.92
DR338	COLL251	PL1260	12/15/2019	10500	27	2.25
DR339	COLL252	PL1263	10/2/2019	40000	63	5.25
DR340	COLL253	PL1264	10/10/2017	20000	90	7.50
DR341	COLL254	PL1265	5/3/2020	45000	25	2.08
DR343	COLL255	PL1266	8/23/2017	45000	88	7.33
DR345	COLL256	PL1267	9/19/2019	90000	41	3.42
DR346	COLL257	PL1268	1/9/2020	30000	85	7.08
DR347	COLL259	PL1269	11/23/2020	100000	74	6.17
DR348	COLL261	PL1271	1/15/2018	80000	22	1.83
DR349	COLL263	PL1272	7/5/2018	60000	68	5.67
DR350	COLL264	PL1273	6/30/2019	40000	26	2.17
DR351	COLL265	PL1274	9/23/2019	45000	72	6.00
DR352	COLL266	PL1276	2/16/2021	50000	57	4.75
DR353	COLL268	PL1277	11/3/2019	50000	34	2.83
DR354	COLL269	PL1278	1/24/2019	60000	49	4.08
DR355	COLL271	PL1279	3/2/2017	25000	23	1.92
DR356	COLL272	PL1280	1/27/2017	100000	66	5.50
DR357	COLL273	PL1281	4/20/2018	10000	57	4.75
DR358	COLL274	PL1282	11/19/2020	20000	47	3.92
DR359	COLL275	PL1283	9/22/2018	35000	86	7.17
DR360	COLL276	PL1284	6/10/2020	70000	57	4.75
DR361	COLL277	PL1285	2/25/2021	70000	70	5.83
DR362	COLL278	PL1287	10/16/2017	35000	26	2.17
DR363	COLL279	PL1288	2/6/2021	45000	81	6.75
DR364	COLL280	PL1289	1/23/2017	25000	49	4.08
DR365	COLL281	PL1290	2/9/2018	10000	71	5.92
DR366	COLL282	PL1291	3/10/2021	70000	88	7.33
DR368	COLL284	PL1292	11/25/2018	80000	55	4.58
DR370	COLL286	PL1294	10/6/2019	35000	39	3.25
DR373	COLL287	PL1295	6/17/2019	45000	23	1.92
DR374	COLL288	PL1296	5/23/2020	35000	37	3.08
DR375	COLL289	PL1298	5/18/2017	35000	27	2.25
DR376	COLL290	PL1300	10/9/2019	80000	22	1.83
DR377	COLL291	PL1301	10/14/2017	20000	51	4.25
DR379	COLL292	PL1302	6/18/2018	40000	69	5.75
DR380	COLL293	PL1303	2/7/2017	25000	41	3.42
DR381	COLL294	PL1304	4/22/2017	20000	68	5.67
DR382	COLL295	PL1305	5/10/2019	10500	59	4.92
DR383	COLL296	PL1306	4/4/2019	70000	75	6.25
DR384	COLL297	PL1307	3/5/2017	40000	63	5.25
DR385	COLL298	PL1308	2/10/2021	100000	21	1.75
DR386	COLL300	PL1309	4/7/2019	70000	81	6.75
DR387	COLL302	PL1310	4/18/2017	80000	35	2.92
DR388	COLL303	PL1312	9/22/2020	20000	41	3.42
DR389	COLL306	PL1313	5/24/2019	25000	85	7.08
DR391	COLL307	PL1314	12/22/2018	35000	83	6.92
DR392	COLL308	PL1315	4/13/2018	50000	78	6.50
DR393	COLL309	PL1316	11/22/2020	30000	62	5.17
DR394	COLL310	PL1317	1/6/2021	25000	75	6.25
DR395	COLL311	PL1318	11/19/2019	45000	55	4.58
DR396	COLL313	PL1319	3/8/2020	40000	79	6.58
DR397	COLL315	PL1320	7/22/2020	90000	73	6.08
DR399	COLL316	PL1321	9/18/2020	10000	87	7.25
DR400	COLL317	PL1322	4/6/2017	10000	29	2.42
DR401	COLL318	PL1323	10/30/2017	90000	49	4.08
DR402	COLL319	PL1324	2/14/2021	60000	45	3.75
DR403	COLL320	PL1325	6/2/2018	60000	67	5.58
DR405	COLL321	PL1326	1/20/2020	10500	28	2.33
DR406	COLL322	PL1327	4/8/2020	20000	72	6.00
DR407	COLL323	PL1328	1/21/2021	60000	26	2.17
DR408	COLL324	PL1329	4/17/2017	45000	34	2.83
DR409	COLL325	PL1330	11/3/2018	100000	53	4.42
DR411	COLL326	PL1331	3/8/2019	100000	75	6.25
DR412	COLL327	PL1332	10/6/2020	10000	27	2.25
DR413	COLL329	PL1333	4/13/2019	35000	20	1.67
DR415	COLL330	PL1334	3/19/2021	90000	90	7.50
DR416	COLL331	PL1335	2/15/2021	45000	57	4.75
DR417	COLL332	PL1336	9/7/2020	50000	58	4.83
DR419	COLL334	PL1337	6/15/2018	80000	71	5.92
DR420	COLL335	PL1338	12/22/2020	35000	49	4.08
DR421	COLL336	PL1339	7/19/2017	40000	66	5.50
DR422	COLL337	PL1340	8/7/2018	45000	76	6.33
DR424	COLL338	PL1343	5/29/2019	100000	59	4.92
DR425	COLL339	PL1344	7/27/2020	80000	39	3.25
DR426	COLL340	PL1345	2/26/2017	25000	47	3.92
DR427	COLL342	PL1346	5/31/2020	30000	58	4.83
DR428	COLL343	PL1347	4/13/2020	100000	79	6.58
DR429	COLL344	PL1348	12/6/2018	70000	89	7.42
DR430	COLL345	PL1349	3/25/2021	20000	60	5.00
DR431	COLL346	PL1350	9/2/2018	35000	81	6.75
DR432	COLL347	PL1351	5/13/2019	25000	48	4.00
DR433	COLL348	PL1352	2/6/2017	70000	30	2.50
DR434	COLL349	PL1355	5/23/2020	90000	53	4.42
DR435	COLL350	PL1356	12/14/2019	25000	38	3.17
DR436	COLL351	PL1357	9/16/2017	10000	84	7.00
DR437	COLL352	PL1358	3/9/2019	25000	80	6.67
DR438	COLL354	PL1360	3/15/2017	70000	26	2.17
DR439	COLL355	PL1361	9/20/2020	25000	25	2.08
DR441	COLL356	PL1362	2/3/2018	35000	81	6.75
DR442	COLL357	PL1363	5/31/2017	100000	35	2.92
DR443	COLL358	PL1364	8/31/2019	100000	30	2.50
DR444	COLL359	PL1365	9/2/2017	70000	33	2.75
DR445	COLL360	PL1366	8/23/2017	10500	87	7.25
DR446	COLL362	PL1367	3/18/2019	40000	20	1.67
DR447	COLL363	PL1368	3/26/2019	100000	46	3.83
DR448	COLL364	PL1369	2/18/2017	100000	29	2.42
DR449	COLL366	PL1370	5/5/2017	90000	38	3.17
DR450	COLL367	PL1371	1/28/2020	10000	35	2.92
DR452	COLL369	PL1372	7/25/2018	10500	86	7.17
DR453	COLL371	PL1373	1/7/2020	40000	52	4.33
DR454	COLL372	PL1374	12/4/2017	70000	69	5.75
DR455	COLL373	PL1375	8/2/2020	40000	65	5.42
DR456	COLL375	PL1377	8/18/2018	100000	33	2.75
DR457	COLL376	PL1378	10/27/2019	20000	28	2.33
DR458	COLL377	PL1379	3/21/2018	60000	46	3.83
DR459	COLL378	PL1380	10/8/2019	80000	46	3.83
DR460	COLL379	PL1381	1/17/2021	50000	23	1.92
DR461	COLL380	PL1382	6/7/2017	25000	72	6.00
DR462	COLL381	PL1384	6/18/2018	90000	60	5.00
DR464	COLL382	PL1386	1/4/2018	90000	73	6.08
DR465	COLL383	PL1387	3/30/2018	10500	38	3.17
DR466	COLL384	PL1390	10/29/2017	90000	21	1.75
DR467	COLL385	PL1391	10/14/2017	10000	38	3.17
DR468	COLL386	PL1392	5/29/2019	25000	61	5.08
DR469	COLL387	PL1393	5/1/2017	10500	20	1.67
DR470	COLL388	PL1395	12/20/2017	10000	30	2.50
DR471	COLL389	PL1396	6/3/2020	90000	29	2.42
DR473	COLL390	PL1397	11/1/2020	100000	74	6.17
DR474	COLL391	PL1398	3/13/2021	50000	24	2.00
DR475	COLL392	PL1399	4/23/2019	80000	27	2.25
DR476	COLL393	PL1400	2/5/2021	40000	53	4.42
DR477	COLL394	PL1401	7/9/2019	100000	35	2.92
DR478	COLL395	PL1402	5/12/2020	100000	62	5.17
DR479	COLL396	PL1403	2/24/2020	60000	38	3.17
DR480	COLL398	PL1404	10/25/2018	40000	35	2.92
DR481	COLL399	PL1405	9/24/2017	90000	33	2.75
DR482	COLL400	PL1406	7/17/2019	10500	27	2.25
DR484	COLL401	PL1407	5/14/2017	40000	27	2.25
DR485	COLL402	PL1408	3/13/2017	50000	77	6.42
DR486	COLL403	PL1409	7/14/2018	25000	45	3.75
DR487	COLL404	PL1410	1/1/2020	40000	45	3.75
DR488	COLL405	PL1411	12/28/2020	25000	56	4.67
DR489	COLL407	PL1412	4/7/2019	50000	51	4.25
DR490	COLL408	PL1413	2/12/2020	100000	65	5.42
DR491	COLL409	PL1414	2/6/2018	90000	32	2.67
DR492	COLL410	PL1415	11/10/2020	35000	68	5.67
DR493	COLL411	PL1417	11/15/2019	45000	75	6.25
DR494	COLL415	PL1419	7/29/2018	90000	44	3.67
DR495	COLL416	PL1420	1/29/2017	90000	71	5.92
DR496	COLL417	PL1421	5/18/2018	25000	83	6.92
DR497	COLL418	PL1422	3/29/2019	20000	85	7.08
DR498	COLL419	PL1423	1/23/2017	10500	87	7.25
DR499	COLL422	PL1424	7/3/2019	30000	46	3.83
DR500	COLL423	PL1425	1/4/2018	25000	82	6.83
DR501	COLL424	PL1426	9/12/2020	40000	77	6.42
DR502	COLL425	PL1429	10/7/2017	40000	21	1.75
DR503	COLL426	PL1430	2/3/2019	35000	60	5.00
DR504	COLL427	PL1431	8/30/2018	80000	21	1.75
DR505	COLL428	PL1432	1/7/2019	35000	56	4.67
DR507	COLL429	PL1433	8/31/2020	30000	39	3.25
DR508	COLL430	PL1434	1/16/2020	90000	79	6.58
DR509	COLL431	PL1435	4/28/2018	100000	33	2.75
DR510	COLL432	PL1436	1/31/2020	60000	82	6.83
DR511	COLL434	PL1437	5/8/2019	35000	86	7.17
DR512	COLL435	PL1441	3/15/2017	20000	51	4.25
DR513	COLL436	PL1443	12/4/2020	10000	62	5.17
DR514	COLL437	PL1445	7/11/2020	25000	32	2.67
DR515	COLL438	PL1446	12/5/2017	45000	22	1.83
DR516	COLL439	PL1447	9/20/2019	100000	27	2.25
DR517	COLL440	PL1448	2/17/2017	20000	46	3.83
DR518	COLL441	PL1449	12/13/2019	30000	75	6.25
DR519	COLL442	PL1450	10/12/2017	25000	50	4.17
DR520	COLL443	PL1451	8/31/2020	50000	22	1.83
DR521	COLL444	PL1452	3/13/2018	50000	21	1.75
DR524	COLL445	PL1453	8/24/2018	60000	26	2.17
DR525	COLL446	PL1454	5/11/2019	80000	69	5.75
DR526	COLL448	PL1455	12/17/2020	40000	86	7.17
DR527	COLL449	PL1456	10/8/2019	100000	71	5.92
DR528	COLL450	PL1457	1/28/2019	45000	81	6.75
DR530	COLL451	PL1458	9/19/2020	25000	48	4.00
DR531	COLL452	PL1459	2/25/2019	90000	75	6.25
DR532	COLL453	PL1460	11/30/2020	40000	83	6.92
DR533	COLL454	PL1462	3/6/2017	30000	85	7.08
DR534	COLL455	PL1463	6/29/2018	30000	58	4.83
DR535	COLL456	PL1464	9/25/2018	60000	57	4.75
DR536	COLL457	PL1466	7/17/2020	30000	33	2.75
DR537	COLL458	PL1467	1/1/2018	50000	35	2.92
DR538	COLL459	PL1468	6/12/2017	10000	66	5.50
DR539	COLL460	PL1469	11/25/2019	30000	33	2.75
DR540	COLL461	PL1470	6/5/2017	60000	90	7.50
DR542	COLL462	PL1471	3/30/2020	60000	71	5.92
DR543	COLL463	PL1473	12/16/2019	80000	89	7.42
DR544	COLL464	PL1474	2/2/2017	45000	21	1.75
DR545	COLL465	PL1475	2/12/2018	10500	45	3.75
DR546	COLL466	PL1476	9/22/2019	50000	45	3.75
DR547	COLL467	PL1477	1/24/2019	10500	55	4.58
DR548	COLL468	PL1478	1/9/2021	50000	32	2.67
DR549	COLL469	PL1479	10/5/2019	10500	88	7.33
DR550	COLL470	PL1480	6/5/2017	50000	36	3.00
DR551	COLL471	PL1481	3/17/2021	60000	44	3.67
DR552	COLL472	PL1482	6/20/2020	10000	85	7.08
DR553	COLL473	PL1483	2/2/2018	10000	80	6.67
DR555	COLL474	PL1484	1/19/2019	45000	51	4.25
DR556	COLL476	PL1485	2/8/2020	90000	51	4.25
DR557	COLL477	PL1487	6/18/2017	35000	37	3.08
DR558	COLL478	PL1488	10/18/2020	70000	33	2.75
DR559	COLL479	PL1489	8/20/2017	30000	50	4.17
DR560	COLL481	PL1490	9/8/2019	40000	67	5.58
DR561	COLL482	PL1491	3/26/2020	80000	77	6.42
DR562	COLL483	PL1492	6/3/2018	90000	45	3.75
DR564	COLL484	PL1493	8/27/2020	40000	40	3.33
DR565	COLL485	PL1495	1/6/2018	30000	34	2.83
DR566	COLL486	PL1496	6/17/2017	35000	77	6.42
DR568	COLL487	PL1497	5/20/2020	10500	40	3.33
DR569	COLL488	PL1498	1/23/2020	30000	85	7.08
DR570	COLL489	PL1500	8/14/2020	90000	69	5.75
DR571	COLL490	PL1501	8/12/2017	20000	37	3.08
DR572	COLL491	PL1502	3/15/2019	100000	84	7.00
DR573	COLL492	PL1503	6/24/2020	10500	26	2.17
DR574	COLL493	PL1504	12/10/2017	80000	63	5.25
DR575	COLL494	PL1505	5/23/2020	30000	65	5.42
DR577	COLL495	PL1506	12/31/2019	80000	33	2.75
DR578	COLL496	PL1507	2/12/2021	40000	69	5.75
DR580	COLL497	PL1508	10/3/2019	10500	44	3.67
DR581	COLL498	PL1510	6/1/2019	45000	62	5.17
DR582	COLL499	PL1511	7/2/2017	35000	48	4.00
DR583	COLL500	PL1512	9/25/2017	80000	87	7.25
DR584	COLL501	PL1513	4/9/2017	25000	76	6.33
DR585	COLL502	PL1514	11/19/2019	90000	56	4.67
DR586	COLL503	PL1515	12/12/2020	100000	26	2.17
DR587	COLL504	PL1516	2/21/2021	40000	73	6.08
DR588	COLL505	PL1517	7/9/2018	80000	23	1.92
DR590	COLL506	PL1518	10/31/2020	100000	65	5.42
DR591	COLL507	PL1519	5/22/2017	10000	77	6.42
DR593	COLL509	PL1520	1/17/2021	25000	88	7.33
DR594	COLL510	PL1522	6/12/2017	20000	43	3.58
DR595	COLL511	PL1523	2/22/2017	10500	51	4.25
DR596	COLL512	PL1524	10/8/2020	10000	72	6.00
DR597	COLL513	PL1525	11/19/2018	30000	57	4.75
DR598	COLL514	PL1526	7/8/2020	80000	36	3.00
DR600	COLL515	PL1528	11/3/2018	90000	72	6.00
DR601	COLL518	PL1529	5/10/2019	35000	57	4.75
DR602	COLL519	PL1530	9/2/2019	80000	75	6.25
DR603	COLL520	PL1531	8/19/2018	35000	37	3.08
DR604	COLL521	PL1532	11/4/2018	40000	76	6.33
DR605	COLL522	PL1533	12/24/2019	50000	32	2.67
DR606	COLL523	PL1534	9/18/2020	80000	32	2.67
DR607	COLL524	PL1535	12/9/2020	45000	36	3.00
DR608	COLL525	PL1536	1/4/2018	10000	46	3.83
DR609	COLL526	PL1537	10/15/2019	90000	79	6.58
DR610	COLL527	PL1538	7/15/2019	60000	47	3.92
DR611	COLL528	PL1541	8/24/2017	90000	47	3.92
DR613	COLL529	PL1542	12/24/2018	30000	65	5.42
DR614	COLL530	PL1543	9/20/2019	45000	22	1.83
DR615	COLL531	PL1544	6/12/2017	70000	24	2.00
DR616	COLL532	PL1545	6/3/2020	45000	84	7.00
DR617	COLL533	PL1546	2/19/2019	20000	83	6.92
DR618	COLL534	PL1549	10/22/2019	20000	78	6.50
DR619	COLL535	PL1551	10/23/2019	80000	57	4.75
